target_present,key,is_correct,rt,task,level,trial,id
1,right,1,0.9006,ST,hard,5,PsevAJnzJ0
0,left,1,1.072,ST,hard,6,PsevAJnzJ0
1,left,0,1.1177,ST,hard,7,PsevAJnzJ0
0,right,0,1.3867,ST,hard,8,PsevAJnzJ0
0,left,1,1.1499,ST,hard,9,PsevAJnzJ0
0,left,1,1.1533,ST,hard,10,PsevAJnzJ0
0,left,1,1.0514,ST,hard,11,PsevAJnzJ0
0,left,1,0.7004,ST,hard,12,PsevAJnzJ0
1,left,0,2.4883,ST,hard,13,PsevAJnzJ0
1,left,0,1.9676,ST,hard,14,PsevAJnzJ0
1,left,0,0.9759,ST,hard,15,PsevAJnzJ0
0,left,1,3.0213,ST,hard,16,PsevAJnzJ0
0,left,1,0.996,ST,medium,1,PsevAJnzJ0
0,left,1,0.6676,ST,medium,2,PsevAJnzJ0
1,right,1,1.7242,ST,medium,3,PsevAJnzJ0
0,left,1,0.8831,ST,medium,4,PsevAJnzJ0
0,left,1,0.7723,ST,medium,5,PsevAJnzJ0
1,right,1,1.0176,ST,medium,6,PsevAJnzJ0
1,right,1,0.8476,ST,medium,7,PsevAJnzJ0
1,right,1,0.6147,ST,medium,8,PsevAJnzJ0
0,left,1,1.0188,ST,medium,9,PsevAJnzJ0
0,left,1,0.856,ST,medium,10,PsevAJnzJ0
0,left,1,0.867,ST,medium,11,PsevAJnzJ0
0,left,1,0.7675,ST,medium,12,PsevAJnzJ0
1,right,1,0.7263,ST,medium,13,PsevAJnzJ0
0,left,1,0.9979,ST,medium,14,PsevAJnzJ0
1,right,1,0.8013,ST,medium,15,PsevAJnzJ0
1,right,1,1.1673,ST,medium,16,PsevAJnzJ0
0,left,1,1.109,ST,easy,1,Piksbkqbn1
1,right,1,2.137,ST,easy,2,Piksbkqbn1
0,left,1,1.053,ST,easy,3,Piksbkqbn1
1,right,1,1.045,ST,easy,4,Piksbkqbn1
0,left,1,0.8,ST,easy,5,Piksbkqbn1
0,left,1,1.546,ST,easy,6,Piksbkqbn1
1,right,1,1.069,ST,easy,7,Piksbkqbn1
0,left,1,0.977,ST,easy,8,Piksbkqbn1
1,right,1,1.254,ST,easy,9,Piksbkqbn1
0,left,1,1.088,ST,easy,10,Piksbkqbn1
1,right,1,1.393,ST,easy,11,Piksbkqbn1
1,right,1,1.061,ST,easy,12,Piksbkqbn1
1,right,1,0.927,ST,easy,13,Piksbkqbn1
1,right,1,1.024,ST,easy,14,Piksbkqbn1
1,right,1,1.027,ST,easy,15,Piksbkqbn1
0,left,1,1.219,ST,easy,16,Piksbkqbn1
1,left,0,0.808,ST,hard,1,Piksbkqbn1
1,left,0,1.437,ST,hard,2,Piksbkqbn1
0,right,0,1.645,ST,hard,3,Piksbkqbn1
1,right,1,1.002,ST,hard,4,Piksbkqbn1
1,left,0,0.985,ST,hard,5,Piksbkqbn1
1,right,1,2.633,ST,hard,6,Piksbkqbn1
1,right,1,1.002,ST,hard,7,Piksbkqbn1
0,left,1,1.647,ST,hard,8,Piksbkqbn1
1,right,1,1.461,ST,hard,9,Piksbkqbn1
1,left,0,1.002,ST,hard,10,Piksbkqbn1
1,right,1,0.82,ST,hard,11,Piksbkqbn1
0,left,1,1.713,ST,hard,12,Piksbkqbn1
0,right,0,0.585,ST,hard,13,Piksbkqbn1
1,left,0,1.01,ST,hard,14,Piksbkqbn1
0,left,1,1.037,ST,hard,15,Piksbkqbn1
1,right,1,0.921,ST,hard,16,Piksbkqbn1
1,left,0,2.646,ST,medium,1,Piksbkqbn1
1,left,0,2.808,ST,medium,2,Piksbkqbn1
0,left,1,2.289,ST,medium,3,Piksbkqbn1
0,left,1,1.806,ST,medium,4,Piksbkqbn1
1,right,1,0.75,ST,medium,5,Piksbkqbn1
0,left,1,1.311,ST,medium,6,Piksbkqbn1
0,left,1,1.236,ST,medium,7,Piksbkqbn1
1,right,1,1.312,ST,medium,8,Piksbkqbn1
0,left,1,1.921,ST,medium,9,Piksbkqbn1
0,left,1,1.97,ST,medium,10,Piksbkqbn1
1,right,1,0.442,ST,medium,11,Piksbkqbn1
0,left,1,0.927,ST,medium,12,Piksbkqbn1
