id,task,level,pool,scale,score_w,score
cCWrG11sgp,MS,easy,pool2,TI,31.333333333333332,94
cCWrG11sgp,MS,easy,pool2,PH,2.3333333333333335,35
cCWrG11sgp,MS,easy,pool2,OW,81.6,397
cCWrG11sgp,ST,hard,pool2,EF,18,90
cCWrG11sgp,ST,hard,pool2,FR,5.333333333333333,40
cCWrG11sgp,ST,hard,pool2,ME,22.666666666666668,85
cCWrG11sgp,ST,hard,pool2,PE,4.333333333333333,65
cCWrG11sgp,ST,hard,pool2,TI,26.333333333333332,79
cCWrG11sgp,ST,hard,pool2,PH,0,13
cCWrG11sgp,ST,hard,pool2,OW,76.66666666666667,372
cCWrG11sgp,ST,easy,pool2,EF,20,100
cCWrG11sgp,ST,easy,pool2,FR,7.333333333333333,55
cCWrG11sgp,ST,easy,pool2,ME,17.333333333333332,65
cCWrG11sgp,ST,easy,pool2,PE,3.3333333333333335,50
cCWrG11sgp,ST,easy,pool2,TI,33.33333333333333,100
cCWrG11sgp,ST,easy,pool2,PH,0,30
cCWrG11sgp,ST,easy,pool2,OW,81.33333333333333,400
cCWrG11sgp,ST,medium,pool2,EF,20,100
cCWrG11sgp,ST,medium,pool2,FR,10.266666666666666,77
cCWrG11sgp,ST,medium,pool2,ME,21.866666666666667,82
cCWrG11sgp,ST,medium,pool2,PE,3,45
cCWrG11sgp,ST,medium,pool2,TI,32.666666666666664,98
cCWrG11sgp,ST,medium,pool2,PH,0,42
cCWrG11sgp,ST,medium,pool2,OW,87.8,444
gI6hCgCchT,MR,medium,pool2,EF,9.333333333333334,70
gI6hCgCchT,MR,medium,pool2,FR,3.3333333333333335,50
gI6hCgCchT,MR,medium,pool2,ME,23.333333333333332,70
gI6hCgCchT,MR,medium,pool2,PE,3,15
gI6hCgCchT,MR,medium,pool2,TI,1.6,6
