target_present,key,is_correct,rt,task,level,trial,id,pool
0,left,1,1.5871,ST,easy,4,cCWrG11sgp,pool2
1,right,1,3.1502,ST,easy,5,cCWrG11sgp,pool2
0,left,1,1.3882,ST,easy,6,cCWrG11sgp,pool2
0,left,1,2.1069,ST,easy,7,cCWrG11sgp,pool2
0,left,1,1.655,ST,easy,8,cCWrG11sgp,pool2
0,left,1,1.1495,ST,easy,9,cCWrG11sgp,pool2
0,left,1,1.0398,ST,easy,10,cCWrG11sgp,pool2
1,right,1,1.9188,ST,easy,11,cCWrG11sgp,pool2
0,left,1,1.0495,ST,easy,12,cCWrG11sgp,pool2
0,left,1,1.4356,ST,easy,13,cCWrG11sgp,pool2
1,right,1,2.1689,ST,easy,14,cCWrG11sgp,pool2
1,right,1,1.5089,ST,easy,15,cCWrG11sgp,pool2
0,left,1,1.6033,ST,easy,16,cCWrG11sgp,pool2
0,right,0,2.1173,ST,hard,1,cCWrG11sgp,pool2
0,left,1,3.7134,ST,hard,2,cCWrG11sgp,pool2
0,left,1,2.2164,ST,hard,3,cCWrG11sgp,pool2
1,right,1,2.5603,ST,hard,4,cCWrG11sgp,pool2
1,right,1,3.5585,ST,hard,5,cCWrG11sgp,pool2
0,left,1,2.7228,ST,hard,6,cCWrG11sgp,pool2
0,left,1,3.0072,ST,hard,7,cCWrG11sgp,pool2
1,right,1,2.2197,ST,hard,8,cCWrG11sgp,pool2
1,right,1,2.1371000000000002,ST,hard,9,cCWrG11sgp,pool2
0,left,1,1.9877,ST,hard,10,cCWrG11sgp,pool2
0,left,1,2.1771,ST,hard,11,cCWrG11sgp,pool2
1,left,0,2.7865,ST,hard,12,cCWrG11sgp,pool2
1,right,1,3.7416,ST,hard,13,cCWrG11sgp,pool2
0,left,1,2.4424,ST,hard,14,cCWrG11sgp,pool2
0,left,1,2.6405,ST,hard,15,cCWrG11sgp,pool2
1,right,1,2.0433,ST,hard,16,cCWrG11sgp,pool2
0,left,1,1.6977,ST,medium,1,cCWrG11sgp,pool2
1,right,1,5.0402,ST,medium,2,cCWrG11sgp,pool2
0,left,1,1.8873,ST,medium,3,cCWrG11sgp,pool2
1,right,1,1.2501,ST,medium,4,cCWrG11sgp,pool2
0,left,1,1.983,ST,medium,5,cCWrG11sgp,pool2
1,right,1,1.4722,ST,medium,6,cCWrG11sgp,pool2
0,left,1,2.1874,ST,medium,7,cCWrG11sgp,pool2
1,right,1,1.2429,ST,medium,8,cCWrG11sgp,pool2
0,left,1,1.5668,ST,medium,9,cCWrG11sgp,pool2
1,right,1,2.2385,ST,medium,10,cCWrG11sgp,pool2
1,right,1,2.8268,ST,medium,11,cCWrG11sgp,pool2
0,left,1,1.5807,ST,medium,12,cCWrG11sgp,pool2
0,left,1,1.2318,ST,medium,13,cCWrG11sgp,pool2
1,right,1,2.7089,ST,medium,14,cCWrG11sgp,pool2
0,left,1,1.3577,ST,medium,15,cCWrG11sgp,pool2
1,right,1,1.4124,ST,medium,16,cCWrG11sgp,pool2
0,left,1,2.2878,ST,easy,1,gI6hCgCchT,pool2
1,right,1,2.7667,ST,easy,2,gI6hCgCchT,pool2
1,right,1,3.5765,ST,easy,3,gI6hCgCchT,pool2
0,left,1,3.1002,ST,easy,4,gI6hCgCchT,pool2
1,right,1,1.6666,ST,easy,5,gI6hCgCchT,pool2
1,right,1,1.8692,ST,easy,6,gI6hCgCchT,pool2
0,right,0,2.1667,ST,easy,7,gI6hCgCchT,pool2
1,right,1,1.8671,ST,easy,8,gI6hCgCchT,pool2
0,left,1,1.5678,ST,easy,9,gI6hCgCchT,pool2
0,left,1,1.9496,ST,easy,10,gI6hCgCchT,pool2
1,right,1,1.9171,ST,easy,11,gI6hCgCchT,pool2
0,left,1,2.8355,ST,easy,12,gI6hCgCchT,pool2
0,left,1,1.9504,ST,easy,13,gI6hCgCchT,pool2
0,left,1,1.3486,ST,easy,14,gI6hCgCchT,pool2
0,left,1,1.5221,ST,easy,15,gI6hCgCchT,pool2
1,right,1,2.6335,ST,easy,16,gI6hCgCchT,pool2
1,right,1,1.5184,ST,hard,1,gI6hCgCchT,pool2
1,right,1,1.7389,ST,hard,2,gI6hCgCchT,pool2
0,left,1,2.8157,ST,hard,3,gI6hCgCchT,pool2
0,left,1,4.6018,ST,hard,4,gI6hCgCchT,pool2
1,right,1,1.3604,ST,hard,5,gI6hCgCchT,pool2
1,right,1,1.2334,ST,hard,6,gI6hCgCchT,pool2
1,right,1,1.088,ST,hard,7,gI6hCgCchT,pool2
1,right,1,1.0722,ST,hard,8,gI6hCgCchT,pool2
0,left,1,2.7803,ST,hard,9,gI6hCgCchT,pool2
0,left,1,1.7339,ST,hard,10,gI6hCgCchT,pool2
1,left,0,2.3739,ST,hard,11,gI6hCgCchT,pool2
0,right,0,1.3819,ST,hard,12,gI6hCgCchT,pool2
1,right,1,0.8875,ST,hard,13,gI6hCgCchT,pool2
1,right,1,0.5663,ST,hard,14,gI6hCgCchT,pool2
1,left,0,1.2386,ST,hard,15,gI6hCgCchT,pool2
0,left,1,1.6942,ST,hard,16,gI6hCgCchT,pool2
1,left,0,4.6126,ST,medium,1,gI6hCgCchT,pool2
1,right,1,2.3024,ST,medium,2,gI6hCgCchT,pool2
1,right,1,1.5872,ST,medium,3,gI6hCgCchT,pool2
1,right,1,1.873,ST,medium,4,gI6hCgCchT,pool2
1,right,1,1.2491,ST,medium,5,gI6hCgCchT,pool2
1,right,1,1.0953,ST,medium,6,gI6hCgCchT,pool2
0,left,1,1.5845,ST,medium,7,gI6hCgCchT,pool2
1,right,1,1.4357,ST,medium,8,gI6hCgCchT,pool2
0,left,1,2.2002,ST,medium,9,gI6hCgCchT,pool2
0,left,1,2.2197,ST,medium,10,gI6hCgCchT,pool2
1,right,1,1.7039,ST,medium,11,gI6hCgCchT,pool2
0,left,1,1.6753,ST,medium,12,gI6hCgCchT,pool2
1,right,1,1.8174,ST,medium,13,gI6hCgCchT,pool2
1,left,0,1.3167,ST,medium,14,gI6hCgCchT,pool2
0,left,1,1.1048,ST,medium,15,gI6hCgCchT,pool2
