task_type,choice,n,w,id,pool
mental_span,PE,3,0.2,ky7vtw0gdz,pool34
mental_span,PH,2,0.13333333333333333,ky7vtw0gdz,pool34
mental_span,TI,4,0.26666666666666666,ky7vtw0gdz,pool34
sternberg,EF,3,0.2,ky7vtw0gdz,pool34
sternberg,FR,1,0.06666666666666667,ky7vtw0gdz,pool34
sternberg,ME,4,0.26666666666666666,ky7vtw0gdz,pool34
sternberg,PE,3,0.2,ky7vtw0gdz,pool34
sternberg,TI,4,0.26666666666666666,ky7vtw0gdz,pool34
mental_rotation,EF,3,0.2,zvDM8Go5Bd,pool34
mental_rotation,FR,4,0.26666666666666666,zvDM8Go5Bd,pool34
mental_rotation,ME,5,0.3333333333333333,zvDM8Go5Bd,pool34
mental_rotation,PE,2,0.13333333333333333,zvDM8Go5Bd,pool34
mental_rotation,PH,1,0.06666666666666667,zvDM8Go5Bd,pool34
mental_span,EF,1,0.06666666666666667,zvDM8Go5Bd,pool34
mental_span,FR,2,0.13333333333333333,zvDM8Go5Bd,pool34
mental_span,ME,4,0.26666666666666666,zvDM8Go5Bd,pool34
mental_span,PE,3,0.2,zvDM8Go5Bd,pool34
mental_span,TI,5,0.3333333333333333,zvDM8Go5Bd,pool34
sternberg,EF,2,0.13333333333333333,zvDM8Go5Bd,pool34
sternberg,FR,2,0.13333333333333333,zvDM8Go5Bd,pool34
sternberg,ME,3,0.2,zvDM8Go5Bd,pool34
sternberg,PE,3,0.2,zvDM8Go5Bd,pool34
sternberg,TI,5,0.3333333333333333,zvDM8Go5Bd,pool34
mental_rotation,EF,2,0.13333333333333333,7SltMY2Jba,pool34
mental_rotation,FR,3,0.2,7SltMY2Jba,pool34
mental_rotation,ME,5,0.3333333333333333,7SltMY2Jba,pool34
mental_rotation,PE,3,0.2,7SltMY2Jba,pool34
mental_rotation,TI,2,0.13333333333333333,7SltMY2Jba,pool34
mental_span,EF,1,0.06666666666666667,7SltMY2Jba,pool34
mental_span,FR,5,0.3333333333333333,7SltMY2Jba,pool34
mental_span,ME,3,0.2,7SltMY2Jba,pool34
mental_span,PE,4,0.26666666666666666,7SltMY2Jba,pool34
mental_span,TI,2,0.13333333333333333,7SltMY2Jba,pool34
sternberg,EF,3,0.2,7SltMY2Jba,pool34
sternberg,FR,5,0.3333333333333333,7SltMY2Jba,pool34
sternberg,ME,2,0.13333333333333333,7SltMY2Jba,pool34
sternberg,PE,3,0.2,7SltMY2Jba,pool34
sternberg,TI,2,0.13333333333333333,7SltMY2Jba,pool34
mental_rotation,EF,1,0.06666666666666667,PbOEQpRS9f,pool34
mental_rotation,FR,5,0.3333333333333333,PbOEQpRS9f,pool34
mental_rotation,ME,2,0.13333333333333333,PbOEQpRS9f,pool34
mental_rotation,PE,4,0.26666666666666666,PbOEQpRS9f,pool34
mental_rotation,PH,2,0.13333333333333333,PbOEQpRS9f,pool34
mental_rotation,TI,1,0.06666666666666667,PbOEQpRS9f,pool34
mental_span,EF,2,0.13333333333333333,PbOEQpRS9f,pool34
mental_span,FR,4,0.26666666666666666,PbOEQpRS9f,pool34
mental_span,ME,1,0.06666666666666667,PbOEQpRS9f,pool34
mental_span,PE,4,0.26666666666666666,PbOEQpRS9f,pool34
mental_span,TI,4,0.26666666666666666,PbOEQpRS9f,pool34
