trials,task,level,n,rt,acc,id
11,MS,hard,3,NA,0.42857142857142855,VEZTZ89Pge
12,MS,easy,3,NA,1,VEZTZ89Pge
12,MS,medium,4,NA,0.8,VEZTZ89Pge
12,MS,hard,2,NA,0.2857142857142857,VEZTZ89Pge
13,MS,easy,3,NA,1,VEZTZ89Pge
13,MS,medium,4,NA,0.8,VEZTZ89Pge
13,MS,hard,3,NA,0.42857142857142855,VEZTZ89Pge
14,MS,easy,3,NA,1,VEZTZ89Pge
14,MS,medium,3,NA,0.6,VEZTZ89Pge
14,MS,hard,3,NA,0.42857142857142855,VEZTZ89Pge
15,MS,easy,3,NA,1,VEZTZ89Pge
15,MS,medium,3,NA,0.6,VEZTZ89Pge
15,MS,hard,3,NA,0.42857142857142855,VEZTZ89Pge
16,MS,easy,3,NA,1,VEZTZ89Pge
16,MS,medium,4,NA,0.8,VEZTZ89Pge
16,MS,hard,3,NA,0.42857142857142855,VEZTZ89Pge
1,MS,easy,3,11.9189,1,HF94YUUt2C
1,MS,medium,4,14.8244,0.8,HF94YUUt2C
1,MS,hard,5,19.6481,0.7142857142857143,HF94YUUt2C
2,MS,easy,3,9.8355,1,HF94YUUt2C
2,MS,medium,4,17.3673,0.8,HF94YUUt2C
2,MS,hard,4,17.6329,0.5714285714285714,HF94YUUt2C
3,MS,easy,3,9.1255,1,HF94YUUt2C
3,MS,medium,5,16.465,1,HF94YUUt2C
3,MS,hard,5,16.0354,0.7142857142857143,HF94YUUt2C
4,MS,easy,3,8.7626,1,HF94YUUt2C
4,MS,medium,5,17.4132,1,HF94YUUt2C
4,MS,hard,6,19.2535,0.8571428571428571,HF94YUUt2C
5,MS,easy,3,9.5253,1,HF94YUUt2C
5,MS,medium,5,14.5538,1,HF94YUUt2C
5,MS,hard,6,18.6536,0.8571428571428571,HF94YUUt2C
6,MS,easy,3,9.2906,1,HF94YUUt2C
6,MS,medium,5,14.4663,1,HF94YUUt2C
6,MS,hard,5,15.0855,0.7142857142857143,HF94YUUt2C
7,MS,easy,3,8.1807,1,HF94YUUt2C
7,MS,medium,5,13.1496,1,HF94YUUt2C
7,MS,hard,5,21.3097,0.7142857142857143,HF94YUUt2C
8,MS,easy,3,7.9049,1,HF94YUUt2C
8,MS,medium,5,14.3319,1,HF94YUUt2C
