task,level,id,pool,scale,score
MS,easy,gI6hCgCchT,pool2,PE,10
MS,easy,gI6hCgCchT,pool2,EF,25
MS,easy,gI6hCgCchT,pool2,FR,1
MR,medium,gI6hCgCchT,pool2,ME,70
MR,medium,gI6hCgCchT,pool2,PH,10
MR,medium,gI6hCgCchT,pool2,TI,6
MR,medium,gI6hCgCchT,pool2,PE,15
MR,medium,gI6hCgCchT,pool2,EF,70
MR,medium,gI6hCgCchT,pool2,FR,50
MR,easy,gI6hCgCchT,pool2,ME,20
MR,easy,gI6hCgCchT,pool2,PH,5
MR,easy,gI6hCgCchT,pool2,TI,1
MR,easy,gI6hCgCchT,pool2,PE,1
MR,easy,gI6hCgCchT,pool2,EF,15
MR,easy,gI6hCgCchT,pool2,FR,11
ST,medium,gI6hCgCchT,pool2,ME,64
ST,medium,gI6hCgCchT,pool2,PH,5
ST,medium,gI6hCgCchT,pool2,TI,95
ST,medium,gI6hCgCchT,pool2,PE,20
ST,medium,gI6hCgCchT,pool2,EF,65
ST,medium,gI6hCgCchT,pool2,FR,65
MS,medium,gI6hCgCchT,pool2,ME,98
MS,medium,gI6hCgCchT,pool2,PH,30
MS,medium,gI6hCgCchT,pool2,TI,90
MS,medium,gI6hCgCchT,pool2,PE,50
MS,medium,gI6hCgCchT,pool2,EF,95
MS,medium,gI6hCgCchT,pool2,FR,93
ST,easy,gI6hCgCchT,pool2,ME,18
ST,easy,gI6hCgCchT,pool2,PH,1
ST,easy,gI6hCgCchT,pool2,TI,19
ST,easy,gI6hCgCchT,pool2,PE,5
ST,easy,gI6hCgCchT,pool2,EF,20
ST,easy,gI6hCgCchT,pool2,FR,11
MR,hard,gI6hCgCchT,pool2,ME,64
MR,hard,gI6hCgCchT,pool2,PH,10
MR,hard,gI6hCgCchT,pool2,TI,20
MR,hard,gI6hCgCchT,pool2,PE,50
MR,hard,gI6hCgCchT,pool2,EF,61
MR,hard,gI6hCgCchT,pool2,FR,75
MS,hard,gI6hCgCchT,pool2,ME,100
MS,hard,gI6hCgCchT,pool2,PH,25
MS,hard,gI6hCgCchT,pool2,TI,99
MS,hard,gI6hCgCchT,pool2,PE,99
MS,hard,gI6hCgCchT,pool2,EF,99
MS,hard,gI6hCgCchT,pool2,FR,99
ST,hard,gI6hCgCchT,pool2,ME,98
ST,hard,gI6hCgCchT,pool2,PH,15
ST,hard,gI6hCgCchT,pool2,TI,97
ST,hard,gI6hCgCchT,pool2,PE,40
ST,hard,gI6hCgCchT,pool2,EF,99
ST,hard,gI6hCgCchT,pool2,FR,100
MS,easy,kGWL9y5AS9,pool2,ME,0
MS,easy,kGWL9y5AS9,pool2,PH,2
MS,easy,kGWL9y5AS9,pool2,TI,0
MS,easy,kGWL9y5AS9,pool2,PE,0
MS,easy,kGWL9y5AS9,pool2,EF,5
MS,easy,kGWL9y5AS9,pool2,FR,0
MS,hard,kGWL9y5AS9,pool2,ME,70
MS,hard,kGWL9y5AS9,pool2,PH,80
MS,hard,kGWL9y5AS9,pool2,TI,50
MS,hard,kGWL9y5AS9,pool2,PE,3
MS,hard,kGWL9y5AS9,pool2,EF,99
MS,hard,kGWL9y5AS9,pool2,FR,6
ST,hard,kGWL9y5AS9,pool2,ME,95
ST,hard,kGWL9y5AS9,pool2,PH,0
ST,hard,kGWL9y5AS9,pool2,TI,86
ST,hard,kGWL9y5AS9,pool2,PE,9
ST,hard,kGWL9y5AS9,pool2,EF,95
ST,hard,kGWL9y5AS9,pool2,FR,10
MR,medium,kGWL9y5AS9,pool2,ME,95
MR,medium,kGWL9y5AS9,pool2,PH,6
MR,medium,kGWL9y5AS9,pool2,TI,0
MR,medium,kGWL9y5AS9,pool2,PE,75
MR,medium,kGWL9y5AS9,pool2,EF,15
MR,medium,kGWL9y5AS9,pool2,FR,20
ST,medium,kGWL9y5AS9,pool2,ME,90
ST,medium,kGWL9y5AS9,pool2,PH,15
ST,medium,kGWL9y5AS9,pool2,TI,50
ST,medium,kGWL9y5AS9,pool2,PE,3
ST,medium,kGWL9y5AS9,pool2,EF,20
ST,medium,kGWL9y5AS9,pool2,FR,5
MR,hard,kGWL9y5AS9,pool2,ME,100
MR,hard,kGWL9y5AS9,pool2,PH,9
MR,hard,kGWL9y5AS9,pool2,TI,1
MR,hard,kGWL9y5AS9,pool2,PE,75
MR,hard,kGWL9y5AS9,pool2,EF,100
MR,hard,kGWL9y5AS9,pool2,FR,51
MR,easy,kGWL9y5AS9,pool2,ME,99
MR,easy,kGWL9y5AS9,pool2,PH,49
MR,easy,kGWL9y5AS9,pool2,TI,0
MR,easy,kGWL9y5AS9,pool2,PE,80
MR,easy,kGWL9y5AS9,pool2,EF,99
MR,easy,kGWL9y5AS9,pool2,FR,51
ST,easy,kGWL9y5AS9,pool2,ME,70
ST,easy,kGWL9y5AS9,pool2,PH,49
ST,easy,kGWL9y5AS9,pool2,TI,50
ST,easy,kGWL9y5AS9,pool2,PE,2
ST,easy,kGWL9y5AS9,pool2,EF,90
ST,easy,kGWL9y5AS9,pool2,FR,1
MS,medium,kGWL9y5AS9,pool2,ME,95
MS,medium,kGWL9y5AS9,pool2,PH,95
MS,medium,kGWL9y5AS9,pool2,TI,50
MS,medium,kGWL9y5AS9,pool2,PE,3
MS,medium,kGWL9y5AS9,pool2,EF,95
MS,medium,kGWL9y5AS9,pool2,FR,20
MR,medium,ntoLpzjCrW,pool2,ME,25
MR,medium,ntoLpzjCrW,pool2,PH,10
MR,medium,ntoLpzjCrW,pool2,TI,9
MR,medium,ntoLpzjCrW,pool2,PE,15
MR,medium,ntoLpzjCrW,pool2,EF,5
MR,medium,ntoLpzjCrW,pool2,FR,10
MS,medium,ntoLpzjCrW,pool2,ME,50
MS,medium,ntoLpzjCrW,pool2,PH,15
MS,medium,ntoLpzjCrW,pool2,TI,50
MS,medium,ntoLpzjCrW,pool2,PE,50
MS,medium,ntoLpzjCrW,pool2,EF,59
MS,medium,ntoLpzjCrW,pool2,FR,50
ST,hard,ntoLpzjCrW,pool2,ME,45
ST,hard,ntoLpzjCrW,pool2,PH,9
ST,hard,ntoLpzjCrW,pool2,TI,30
ST,hard,ntoLpzjCrW,pool2,PE,31
ST,hard,ntoLpzjCrW,pool2,EF,50
ST,hard,ntoLpzjCrW,pool2,FR,45
ST,medium,ntoLpzjCrW,pool2,ME,45
ST,medium,ntoLpzjCrW,pool2,PH,10
