task,level,id,scale,score
ST,easy,1W5HQaoCSR,EF,20
ST,easy,1W5HQaoCSR,FR,21
ST,hard,1W5HQaoCSR,ME,50
ST,hard,1W5HQaoCSR,PH,5
ST,hard,1W5HQaoCSR,TI,49
ST,hard,1W5HQaoCSR,PE,99
ST,hard,1W5HQaoCSR,EF,20
ST,hard,1W5HQaoCSR,FR,5
ST,medium,1W5HQaoCSR,ME,50
ST,medium,1W5HQaoCSR,PH,4
ST,medium,1W5HQaoCSR,TI,50
ST,medium,1W5HQaoCSR,PE,95
ST,medium,1W5HQaoCSR,EF,10
ST,medium,1W5HQaoCSR,FR,10
MS,medium,1W5HQaoCSR,ME,51
MS,medium,1W5HQaoCSR,PH,5
MS,medium,1W5HQaoCSR,TI,5
MS,medium,1W5HQaoCSR,PE,70
MS,medium,1W5HQaoCSR,EF,30
MS,medium,1W5HQaoCSR,FR,30
MS,hard,1W5HQaoCSR,ME,50
MS,hard,1W5HQaoCSR,PH,6
MS,hard,1W5HQaoCSR,TI,24
MS,hard,1W5HQaoCSR,PE,76
MS,hard,1W5HQaoCSR,EF,24
MS,hard,1W5HQaoCSR,FR,24
MS,easy,1W5HQaoCSR,ME,50
MS,easy,1W5HQaoCSR,PH,5
MS,easy,1W5HQaoCSR,TI,10
MS,easy,1W5HQaoCSR,PE,60
MS,easy,1W5HQaoCSR,EF,25
MS,easy,1W5HQaoCSR,FR,25
MR,hard,1W5HQaoCSR,ME,6
MR,hard,1W5HQaoCSR,PH,6
MR,hard,1W5HQaoCSR,TI,6
MR,hard,1W5HQaoCSR,PE,99
MR,hard,1W5HQaoCSR,EF,10
MR,hard,1W5HQaoCSR,FR,10
MR,medium,1W5HQaoCSR,ME,10
MR,medium,1W5HQaoCSR,PH,6
MR,medium,1W5HQaoCSR,TI,6
MR,medium,1W5HQaoCSR,PE,100
MR,medium,1W5HQaoCSR,EF,5
MR,medium,1W5HQaoCSR,FR,5
MR,easy,1W5HQaoCSR,ME,5
MR,easy,1W5HQaoCSR,PH,5
MR,easy,1W5HQaoCSR,TI,5
MR,easy,1W5HQaoCSR,PE,99
MR,easy,1W5HQaoCSR,EF,5
MR,easy,1W5HQaoCSR,FR,5
MS,easy,qn7iE4w9eA,ME,1
MS,easy,qn7iE4w9eA,PH,1
MS,easy,qn7iE4w9eA,TI,0
MS,easy,qn7iE4w9eA,PE,1
MS,easy,qn7iE4w9eA,EF,0
MS,easy,qn7iE4w9eA,FR,2
ST,hard,qn7iE4w9eA,ME,89
ST,hard,qn7iE4w9eA,PH,31
ST,hard,qn7iE4w9eA,TI,98
ST,hard,qn7iE4w9eA,PE,39
ST,hard,qn7iE4w9eA,EF,98
ST,hard,qn7iE4w9eA,FR,66
MR,medium,qn7iE4w9eA,ME,94
MR,medium,qn7iE4w9eA,PH,42
MR,medium,qn7iE4w9eA,TI,23
MR,medium,qn7iE4w9eA,PE,36
MR,medium,qn7iE4w9eA,EF,91
MR,medium,qn7iE4w9eA,FR,13
MR,easy,qn7iE4w9eA,ME,97
MR,easy,qn7iE4w9eA,PH,17
MR,easy,qn7iE4w9eA,TI,32
MR,easy,qn7iE4w9eA,PE,69
MR,easy,qn7iE4w9eA,EF,98
MR,easy,qn7iE4w9eA,FR,76
MS,hard,qn7iE4w9eA,ME,58
MS,hard,qn7iE4w9eA,PH,15
MS,hard,qn7iE4w9eA,TI,58
MS,hard,qn7iE4w9eA,PE,13
MS,hard,qn7iE4w9eA,EF,23
MS,hard,qn7iE4w9eA,FR,22
ST,medium,qn7iE4w9eA,ME,13
ST,medium,qn7iE4w9eA,PH,12
ST,medium,qn7iE4w9eA,TI,13
ST,medium,qn7iE4w9eA,PE,8
ST,medium,qn7iE4w9eA,EF,12
ST,medium,qn7iE4w9eA,FR,3
MS,medium,qn7iE4w9eA,ME,2
MS,medium,qn7iE4w9eA,PH,3
MS,medium,qn7iE4w9eA,TI,2
MS,medium,qn7iE4w9eA,PE,3
MS,medium,qn7iE4w9eA,EF,1
MS,medium,qn7iE4w9eA,FR,4
ST,easy,qn7iE4w9eA,ME,2
ST,easy,qn7iE4w9eA,PH,2
ST,easy,qn7iE4w9eA,TI,2
ST,easy,qn7iE4w9eA,PE,7
ST,easy,qn7iE4w9eA,EF,2
ST,easy,qn7iE4w9eA,FR,2
MR,hard,qn7iE4w9eA,ME,94
MR,hard,qn7iE4w9eA,PH,56
MR,hard,qn7iE4w9eA,TI,7
MR,hard,qn7iE4w9eA,PE,62
MR,hard,qn7iE4w9eA,EF,98
MR,hard,qn7iE4w9eA,FR,98
ST,medium,kuTZjru3VL,ME,75
ST,medium,kuTZjru3VL,PH,65
