task,level,id,scale,score
MS,easy,ntoLpzjCrW,PH,50
MS,easy,ntoLpzjCrW,TI,50
MS,easy,ntoLpzjCrW,PE,50
MS,easy,ntoLpzjCrW,EF,50
MS,easy,ntoLpzjCrW,FR,50
MS,hard,ntoLpzjCrW,ME,80
MS,hard,ntoLpzjCrW,PH,80
MS,hard,ntoLpzjCrW,TI,80
MS,hard,ntoLpzjCrW,PE,20
MS,hard,ntoLpzjCrW,EF,80
MS,hard,ntoLpzjCrW,FR,80
ST,hard,ntoLpzjCrW,ME,80
ST,hard,ntoLpzjCrW,PH,80
ST,hard,ntoLpzjCrW,TI,80
ST,hard,ntoLpzjCrW,PE,20
ST,hard,ntoLpzjCrW,EF,80
ST,hard,ntoLpzjCrW,FR,80
ST,easy,ntoLpzjCrW,ME,84
ST,easy,ntoLpzjCrW,PH,85
ST,easy,ntoLpzjCrW,TI,85
ST,easy,ntoLpzjCrW,PE,15
ST,easy,ntoLpzjCrW,EF,85
ST,easy,ntoLpzjCrW,FR,85
ST,medium,ntoLpzjCrW,ME,85
ST,medium,ntoLpzjCrW,PH,85
ST,medium,ntoLpzjCrW,TI,85
ST,medium,ntoLpzjCrW,PE,15
ST,medium,ntoLpzjCrW,EF,85
ST,medium,ntoLpzjCrW,FR,85
ST,hard,12zOSfawTO,ME,80
ST,hard,12zOSfawTO,PH,32
ST,hard,12zOSfawTO,TI,82
ST,hard,12zOSfawTO,PE,68
ST,hard,12zOSfawTO,EF,64
ST,hard,12zOSfawTO,FR,70
ST,medium,12zOSfawTO,ME,77
ST,medium,12zOSfawTO,PH,14
ST,medium,12zOSfawTO,TI,83
ST,medium,12zOSfawTO,PE,64
ST,medium,12zOSfawTO,EF,83
ST,medium,12zOSfawTO,FR,83
MS,easy,12zOSfawTO,ME,82
MS,easy,12zOSfawTO,PH,42
MS,easy,12zOSfawTO,TI,85
MS,easy,12zOSfawTO,PE,60
MS,easy,12zOSfawTO,EF,84
MS,easy,12zOSfawTO,FR,77
MS,medium,12zOSfawTO,ME,91
MS,medium,12zOSfawTO,PH,52
MS,medium,12zOSfawTO,TI,95
MS,medium,12zOSfawTO,PE,74
MS,medium,12zOSfawTO,EF,92
MS,medium,12zOSfawTO,FR,88
MR,hard,12zOSfawTO,ME,90
MR,hard,12zOSfawTO,PH,59
MR,hard,12zOSfawTO,TI,92
MR,hard,12zOSfawTO,PE,73
MR,hard,12zOSfawTO,EF,89
MR,hard,12zOSfawTO,FR,68
MR,medium,12zOSfawTO,ME,86
MR,medium,12zOSfawTO,PH,51
MR,medium,12zOSfawTO,TI,88
MR,medium,12zOSfawTO,PE,71
MR,medium,12zOSfawTO,EF,83
MR,medium,12zOSfawTO,FR,71
ST,easy,12zOSfawTO,ME,90
ST,easy,12zOSfawTO,PH,53
ST,easy,12zOSfawTO,TI,78
ST,easy,12zOSfawTO,PE,50
ST,easy,12zOSfawTO,EF,67
ST,easy,12zOSfawTO,FR,72
MS,hard,12zOSfawTO,ME,82
MS,hard,12zOSfawTO,PH,86
